004ACHER WILLIAM  01N072600500720000
590NEIL CLARENCE  07N006500900100000
801SCHEIBER HARRY 01N100000001000000
956WANGLEY THEO   01N099999101000000
311GROLER GRACE   23N064302000770000
487KING MILDRED   18N091996301000000
834TRAWLEY HARRIS 05N732600507700000
171COSTA NAN      15N035600500400000
739RIDEL ROBERT   05N019400800200000
122CENNA DICK     03N577700406000000
568LYNNF GERALD   09N448701304500000
909UDSON DORIS    01N449900304500000
100BATES TONY     08N106602001000000
179DAMSON ERIC    03N250201802500000
825TILLMAN DON    12N044401900500000
214EDMONSON RICK  02N100000001000000
310GORMALLY MARIE 03N302200603000000
689OWNEY REED     04N317460303500000
322HARLETON JEAN  07N089901201000000
921ULL GEORGE     18N229885102500000
105BOYLE RALPH    08N804401407800000
315HALE ALAN      12N400001604500000
